Time_Interval,Task_ID,Priority,Deadline_ms,Required_CPU_MCycles,Required_RAM_MB,Estimated_Energy_J
20,TASK_420,High,148,627,1975,29.28
20,TASK_734,Medium,258,514,700,14.22
21,TASK_920,Low,600,1681,2231,84.92
21,TASK_8,Medium,329,2629,723,61.65
21,TASK_590,Medium,198,2514,3517,14.78
21,TASK_27,High,98,783,1594,47.8
21,TASK_48,Medium,359,619,1941,25.14
21,TASK_325,Low,759,2441,3113,21.84
21,TASK_348,High,128,1697,539,97.62
22,TASK_339,Low,865,1346,2381,9.52
22,TASK_505,Low,962,2301,2523,54.34
22,TASK_925,High,130,512,319,61.14
22,TASK_30,Low,993,1332,2683,70.65
23,TASK_608,Medium,210,2043,3821,40.16
23,TASK_527,Medium,206,2712,3920,34.74
23,TASK_818,High,74,2188,3383,10.07
23,TASK_484,High,119,1396,167,6.86
24,TASK_541,High,135,2302,3100,12.98
24,TASK_238,Medium,288,1908,1091,11.07
24,TASK_391,Medium,318,1235,432,8.3
24,TASK_95,High,80,1631,1399,101.51
24,TASK_371,Medium,293,2584,2048,14.67
25,TASK_385,Medium,298,1253,3481,111.54
25,TASK_990,High,133,407,815,38.03
25,TASK_987,Low,541,977,904,112.15
25,TASK_908,Medium,307,2586,3103,71.19
25,TASK_639,Low,642,1746,735,17.13
26,TASK_798,High,143,899,2896,26.21
26,TASK_409,Medium,293,2572,3828,100.72
26,TASK_939,Medium,196,1624,2276,25.06
26,TASK_949,Medium,398,2444,4094,104.09
27,TASK_802,High,148,1873,3633,50.75
27,TASK_670,Medium,376,2034,3475,50.53
27,TASK_347,Medium,244,649,3581,82.18
27,TASK_142,Low,925,1615,3642,76.61
27,TASK_346,Medium,199,2569,2293,44.77
27,TASK_184,Medium,329,2136,807,26.92
28,TASK_351,Medium,193,2358,2538,95.08
28,TASK_766,High,122,1622,3089,108.78
28,TASK_171,Medium,390,323,776,92.06
28,TASK_172,Low,794,2893,2001,11.39
28,TASK_164,Medium,231,444,4056,59.16
28,TASK_629,Medium,261,2250,288,102.75
28,TASK_120,Medium,153,1835,1071,65.34
28,TASK_980,Low,779,880,3689,7.32
28,TASK_960,High,116,327,3389,27.84
29,TASK_674,Low,778,1470,2974,112.49
29,TASK_880,Medium,269,760,2541,71.51
29,TASK_514,Low,448,874,2083,11.89
29,TASK_566,High,82,2659,743,42.21
29,TASK_157,High,114,2695,621,23.72
30,TASK_176,Low,909,2448,2945,52.29
30,TASK_611,High,107,2495,3043,83.45
30,TASK_875,Low,774,461,3463,25.8
30,TASK_349,Low,806,1236,1815,113.88
30,TASK_867,Medium,350,1861,2387,119.14
30,TASK_787,High,96,489,960,70.73
32,TASK_430,Low,587,2938,2805,97.62
32,TASK_393,Low,412,1049,1158,6.3
32,TASK_833,Medium,188,509,2087,118.79
33,TASK_791,High,106,478,2368,92.82
33,TASK_525,High,50,2477,3513,6.57
33,TASK_334,Medium,238,387,801,60.66
33,TASK_552,Low,604,656,617,108.53
33,TASK_116,High,129,2807,2168,49.54
33,TASK_125,Low,758,206,1073,115.57
33,TASK_323,High,57,456,2410,89.12
34,TASK_933,Medium,324,663,3739,62.07
34,TASK_531,Low,763,1905,3903,68.04
34,TASK_492,Low,477,2573,3018,34.1
34,TASK_998,High,69,418,2126,103.8
34,TASK_889,Low,602,1767,3263,51.32
34,TASK_834,Medium,286,2908,4010,83.7
35,TASK_572,Low,871,1825,2561,100.62
35,TASK_359,High,112,1790,2370,112.93
35,TASK_777,Medium,305,2668,3542,99.98
35,TASK_68,High,62,1109,3436,28.87
35,TASK_133,Medium,327,1642,1757,113.92
36,TASK_418,Low,935,2146,1224,105.13
36,TASK_158,High,62,1457,617,73.45
36,TASK_686,Medium,369,2340,2428,56.95
36,TASK_950,Medium,306,1673,3575,71.37
36,TASK_598,Medium,327,2811,322,16.11
37,TASK_287,Medium,181,1236,2640,51.37
37,TASK_370,High,107,2278,2933,108.27
37,TASK_129,Low,819,2806,1312,75.32
37,TASK_603,Medium,235,358,3165,105.47
38,TASK_23,Low,643,1556,3551,61.31
38,TASK_863,Low,482,606,1662,13.36
38,TASK_341,High,78,1751,2422,5.73
38,TASK_237,Low,627,2045,930,10.79
38,TASK_975,Medium,155,2569,3344,6.59
39,TASK_697,Medium,191,2569,2174,98.58
39,TASK_265,Low,728,903,2153,112.24
39,TASK_981,Medium,255,2188,952,22.69
39,TASK_523,Low,694,939,2982,43.18
39,TASK_209,Medium,326,1827,4035,50.94
39,TASK_838,Medium,359,2279,1180,68.79
39,TASK_646,High,75,1475,817,62.28
39,TASK_407,Medium,169,2160,3406,10.82
40,TASK_91,Medium,279,773,3804,10.78
41,TASK_768,High,137,420,1718,29.88
41,TASK_119,Medium,153,1341,2474,100.09
41,TASK_99,Medium,159,1661,2552,32.31
42,TASK_274,Low,568,1102,3004,80.49
42,TASK_146,Low,582,1254,3885,14.08
42,TASK_649,Medium,259,2055,1368,40.39
43,TASK_894,Low,467,242,621,50.54
43,TASK_564,Low,595,2857,2703,6.87
43,TASK_405,High,102,1017,1916,48.09
44,TASK_174,Medium,332,985,3386,29.43
44,TASK_565,High,99,1449,3719,88.81
44,TASK_82,Medium,227,2505,3618,24.63
44,TASK_723,Medium,371,1060,2313,50.58
44,TASK_986,Low,823,2634,353,83.09
45,TASK_936,Medium,331,2578,764,7.75
45,TASK_684,Medium,157,386,3854,80.68
45,TASK_102,High,60,2667,2387,17.83
45,TASK_167,High,81,2369,2971,91.69
46,TASK_776,Low,676,470,3844,68.79
46,TASK_932,High,136,699,166,5.74
46,TASK_373,Low,528,2791,220,16.53
46,TASK_365,Medium,188,636,2076,52.98
46,TASK_570,Low,602,1441,3436,20.48
47,TASK_853,Medium,184,1414,3244,41.27
47,TASK_940,Low,926,716,3993,59.24
47,TASK_462,Low,941,1719,859,119.15
47,TASK_782,High,84,2182,1128,115.16
47,TASK_516,High,123,2358,3400,74.69
47,TASK_737,High,79,2124,1427,100.3
47,TASK_728,Medium,181,2361,1692,73.5
47,TASK_956,Medium,153,2638,138,110.0
48,TASK_356,Low,752,1438,3133,80.84
48,TASK_284,Low,559,2394,2436,13.83
48,TASK_292,High,89,1337,3070,34.36
48,TASK_326,Low,637,2950,626,100.79
48,TASK_496,High,139,1021,2271,117.6
48,TASK_126,High,101,2668,3138,81.8
48,TASK_946,Medium,200,249,293,108.11
48,TASK_87,Low,789,2056,1560,75.74
49,TASK_738,Low,668,2113,3247,95.1
49,TASK_361,High,68,2980,2087,76.62
49,TASK_443,Medium,335,1128,3117,78.77
49,TASK_32,Low,557,2152,540,37.04
50,TASK_411,Medium,396,2055,2591,30.8
50,TASK_845,Medium,240,2973,755,52.78
50,TASK_71,Low,791,2960,3103,58.83
50,TASK_864,High,100,1601,1224,37.27
51,TASK_196,High,50,1777,2687,54.89
51,TASK_433,Low,419,2465,845,22.16
51,TASK_877,Medium,168,1531,2782,43.43
51,TASK_41,Medium,222,926,3514,48.07
51,TASK_827,Low,701,405,1985,24.54
51,TASK_918,High,116,2963,1447,69.85
51,TASK_343,Low,862,1880,2933,116.06
51,TASK_46,Low,529,1189,3066,102.19
52,TASK_207,High,77,1035,949,80.56
52,TASK_151,High,128,642,1142,112.58
52,TASK_466,High,80,1459,812,96.29
52,TASK_261,Low,736,2654,4063,99.72
52,TASK_872,Medium,355,2320,3422,50.92
52,TASK_631,Low,485,1741,519,19.44
53,TASK_58,High,85,2288,1219,77.14
53,TASK_452,Medium,337,1875,3935,100.0
53,TASK_227,High,100,2764,2889,24.84
53,TASK_19,Low,542,596,1434,114.42
53,TASK_642,Low,431,1805,1668,31.88
53,TASK_819,High,96,2132,217,26.31
53,TASK_94,Medium,360,422,3090,55.39
53,TASK_891,Low,733,2137,3549,119.6
54,TASK_848,Low,949,2683,1069,25.36
54,TASK_79,High,145,586,1946,93.49
54,TASK_221,Low,599,1437,3237,73.41
54,TASK_76,Low,572,828,2832,54.45
54,TASK_448,Medium,307,1829,2610,31.45
54,TASK_296,Low,887,882,3438,82.72
54,TASK_317,Medium,324,1772,789,77.43
54,TASK_386,Medium,277,2950,2192,53.26
54,TASK_744,Medium,208,2980,1121,25.37
55,TASK_810,Medium,150,1914,907,13.18
55,TASK_43,Low,804,2075,3122,47.25
55,TASK_464,Medium,379,2197,3000,118.67
56,TASK_786,Low,706,2783,2002,76.95
56,TASK_717,Medium,250,828,3554,44.73
56,TASK_942,Medium,296,2147,3715,76.95
56,TASK_967,Medium,150,560,2413,14.38
56,TASK_958,Medium,225,1749,3501,25.79
57,TASK_850,Low,900,352,1898,115.02
57,TASK_645,Low,931,2090,1965,9.78
57,TASK_417,Low,419,336,2843,43.81
58,TASK_489,Medium,292,2027,1658,38.82
58,TASK_387,Low,701,2507,198,10.82
58,TASK_441,High,137,434,266,85.17
58,TASK_29,Medium,315,2236,1210,21.24
58,TASK_440,Low,914,222,1026,50.07
58,TASK_722,High,53,315,3324,109.42
58,TASK_703,Medium,156,1876,293,74.21
58,TASK_584,Medium,218,1794,3377,6.48
58,TASK_479,Medium,196,1151,2002,112.46
59,TASK_199,Medium,197,961,3384,67.87
59,TASK_801,Low,465,1580,781,10.88
59,TASK_33,Medium,365,2849,3651,30.15
60,TASK_54,Medium,343,1307,411,35.27
60,TASK_280,High,70,2584,3238,18.38
60,TASK_453,High,109,1516,3847,82.41
60,TASK_415,Medium,281,2824,2200,15.97
60,TASK_764,Medium,343,1073,415,11.28
61,TASK_706,Low,658,2987,1047,43.88
61,TASK_727,High,68,2571,1724,54.77
61,TASK_355,Low,820,2542,3488,74.41
61,TASK_924,Medium,184,1082,237,75.16
61,TASK_916,High,97,1706,1959,45.81
61,TASK_947,Medium,187,218,2558,27.57
62,TASK_168,Low,563,2372,3040,71.46
62,TASK_483,Low,800,2078,1983,94.64
62,TASK_194,Medium,286,2590,190,39.49
62,TASK_614,Medium,316,2669,1737,77.73
62,TASK_128,Medium,201,1032,1465,35.53
62,TASK_205,Low,631,338,3772,99.41
63,TASK_149,Low,804,1657,997,44.49
63,TASK_436,High,120,2210,786,51.97
63,TASK_110,Low,548,1674,1631,19.43
63,TASK_945,High,70,1541,2111,64.96
63,TASK_799,Low,688,2813,220,28.26
63,TASK_476,High,67,848,1897,69.89
64,TASK_44,High,84,1881,687,15.01
65,TASK_560,Medium,231,815,3644,30.06
65,TASK_793,High,97,1062,743,31.08
65,TASK_680,Medium,160,694,492,12.13
65,TASK_421,Low,553,1675,4032,91.53
65,TASK_103,Low,652,2858,1644,74.96
66,TASK_429,Medium,153,2195,3122,70.78
66,TASK_165,Medium,378,741,422,81.12
66,TASK_857,Medium,233,2736,1071,25.59
67,TASK_388,Medium,380,1428,1420,9.53
67,TASK_382,Low,890,252,422,20.58
67,TASK_559,Low,995,843,1833,36.27
67,TASK_993,Low,701,2833,1099,31.57
68,TASK_322,Medium,275,400,765,54.27
68,TASK_991,High,105,1737,657,106.17
68,TASK_232,Medium,282,2246,3138,118.11
69,TASK_515,High,70,586,1287,20.06
69,TASK_538,Low,807,1724,3070,71.34
69,TASK_504,Low,653,317,3080,71.17
69,TASK_529,Medium,323,2945,2660,77.61
69,TASK_636,Low,970,2578,1221,67.26
69,TASK_239,Low,835,2493,196,84.58
69,TASK_888,High,138,1697,3984,68.09
70,TASK_687,High,90,285,2956,45.79
70,TASK_248,Low,660,1217,1816,59.9
70,TASK_446,Low,935,630,1383,108.0
70,TASK_927,Medium,365,2766,1244,35.05
71,TASK_105,Low,455,2320,2214,24.95
71,TASK_683,High,123,2840,478,23.62
71,TASK_161,Medium,386,2050,2684,56.37
72,TASK_6,Medium,224,2865,3307,61.28
72,TASK_837,Medium,356,2022,3207,48.95
72,TASK_122,Medium,189,2143,2471,31.96
73,TASK_49,Medium,355,793,3043,82.37
73,TASK_938,High,95,339,163,113.27
74,TASK_750,Medium,174,2346,1028,112.63
74,TASK_660,Medium,175,2201,2065,68.99
74,TASK_885,Low,719,2430,1782,84.59
74,TASK_563,Low,932,2404,181,73.25
75,TASK_301,Low,813,2199,3757,23.03
75,TASK_11,High,75,1567,4033,46.56
75,TASK_586,High,136,2609,498,102.88
75,TASK_656,Medium,382,2206,582,78.71
75,TASK_178,High,83,996,3769,106.73
75,TASK_858,Low,680,1094,2330,96.71
76,TASK_626,High,123,2549,4068,37.72
76,TASK_658,Medium,207,1069,204,26.84
76,TASK_508,High,84,1267,1633,31.02
78,TASK_961,Medium,235,2045,2628,33.39
78,TASK_824,Low,626,2784,932,101.85
78,TASK_935,Medium,225,1235,3619,89.48
79,TASK_868,High,77,2560,1956,32.68
79,TASK_874,Medium,222,781,3000,117.5
80,TASK_542,Low,619,2766,3641,15.34
80,TASK_899,Medium,318,1493,2539,109.31
80,TASK_730,Medium,161,353,146,113.05
81,TASK_878,High,96,2492,1012,89.05
81,TASK_112,High,77,1379,1198,32.25
81,TASK_573,Low,598,1327,1757,110.62
81,TASK_216,High,81,1195,3109,58.36
81,TASK_69,Medium,266,409,2221,32.39
81,TASK_948,Medium,169,925,2007,7.59
82,TASK_266,Low,862,2746,1328,18.64
82,TASK_866,Medium,168,708,306,94.98
82,TASK_779,Medium,339,2954,698,95.21
82,TASK_315,Medium,161,1772,3217,110.39
82,TASK_92,Medium,209,248,2554,9.01
83,TASK_677,High,68,207,2748,72.22
83,TASK_632,High,125,1316,896,115.8
83,TASK_821,Low,542,505,140,79.24
84,TASK_175,Medium,266,2243,3028,81.31
84,TASK_887,High,101,264,1072,52.82
84,TASK_307,High,70,218,1552,69.06
84,TASK_615,Low,997,2146,3174,19.76
84,TASK_546,Medium,163,2802,1118,51.76
84,TASK_60,Medium,163,1158,944,22.49
85,TASK_797,High,60,1024,3118,23.79
85,TASK_855,Medium,179,2810,1390,32.25
85,TASK_823,Medium,170,1068,1985,113.79
85,TASK_522,High,53,2656,1981,111.82
86,TASK_800,Low,671,1549,2605,49.47
86,TASK_395,Medium,393,1298,944,40.24
86,TASK_442,High,129,1324,3892,27.25
86,TASK_163,High,102,1110,3818,33.37
86,TASK_432,Medium,322,670,1350,22.7
86,TASK_984,Low,492,2168,2356,69.93
86,TASK_512,High,142,2205,1199,90.91
86,TASK_681,Medium,397,1829,3034,44.02
86,TASK_617,Medium,166,2983,1102,84.74
87,TASK_222,Low,904,1984,1492,89.97
88,TASK_107,Low,856,1253,2932,97.17
88,TASK_12,High,117,1772,1565,103.88
88,TASK_21,High,109,1717,200,70.29
89,TASK_31,Low,828,2692,2433,26.31
89,TASK_104,Medium,308,574,3879,37.32
89,TASK_53,High,74,1135,2156,33.71
89,TASK_497,High,65,1661,4058,82.49
90,TASK_278,Medium,263,2063,2284,12.87
90,TASK_761,High,109,604,2072,55.58
90,TASK_57,High,82,2902,428,96.15
90,TASK_931,High,94,1433,777,38.14
90,TASK_255,Medium,287,1063,2328,58.67
90,TASK_695,Low,503,1987,1077,79.55
90,TASK_574,Low,825,592,2909,79.73
90,TASK_145,Low,909,1032,2679,44.1
90,TASK_578,Low,541,1179,522,94.68
90,TASK_481,High,94,2216,1845,99.68
91,TASK_869,Medium,361,962,1385,105.55
91,TASK_694,Low,637,2417,626,55.83
92,TASK_478,High,141,1682,2498,28.18
92,TASK_835,Medium,248,2191,3349,114.13
92,TASK_180,High,131,258,2298,109.56
92,TASK_759,High,99,2401,3667,37.24
92,TASK_427,Low,437,397,2674,65.94
92,TASK_712,High,82,800,3894,11.74
92,TASK_61,Low,509,304,3336,57.71
92,TASK_922,Medium,286,2675,487,96.57
93,TASK_311,Low,621,2894,577,115.18
93,TASK_3,Medium,151,2168,2728,107.29
93,TASK_372,Low,983,382,3105,50.21
93,TASK_913,Medium,199,1199,4004,29.16
93,TASK_249,High,54,1805,404,45.34
93,TASK_576,Medium,385,2047,777,51.23
93,TASK_506,Medium,394,1873,798,36.73
94,TASK_461,High,125,1578,3534,14.34
94,TASK_943,Low,425,2365,3422,68.31
94,TASK_517,High,113,2861,377,102.69
95,TASK_813,Medium,236,2187,659,105.97
95,TASK_569,High,64,2718,3239,44.41
95,TASK_900,Medium,269,873,2745,119.03
95,TASK_375,Medium,152,1679,332,81.1
95,TASK_836,Medium,226,471,2835,21.39
95,TASK_86,Low,846,2482,3326,63.72
96,TASK_599,High,117,415,2853,25.34
96,TASK_536,High,73,1644,3291,10.8
96,TASK_202,Medium,159,1203,3413,89.3
96,TASK_259,Low,767,1810,2719,48.81
96,TASK_152,High,70,2322,2039,26.36
96,TASK_493,Medium,273,1139,3321,104.54
96,TASK_150,Medium,395,1599,3008,100.98
96,TASK_910,Medium,184,1676,910,59.25
97,TASK_245,High,100,1243,2487,46.31
97,TASK_350,Low,487,2431,3783,51.02
98,TASK_428,High,95,2871,1515,23.56
98,TASK_805,Medium,196,1838,1263,49.02
98,TASK_241,Low,610,1710,323,31.05
98,TASK_865,Low,825,366,3106,45.24
99,TASK_637,Medium,287,2580,3068,14.89
99,TASK_376,Medium,342,1789,2735,74.28
99,TASK_368,Low,527,1504,1650,53.09
99,TASK_463,Low,713,1881,2291,22.96
99,TASK_309,Low,521,312,3815,62.78
99,TASK_275,Medium,366,564,264,116.68
99,TASK_954,Medium,241,1364,158,54.41
99,TASK_410,High,144,1088,2154,97.65
99,TASK_130,Medium,273,2010,458,83.03
99,TASK_597,High,82,1272,366,41.22
99,TASK_807,Low,600,411,3258,21.71
99,TASK_290,Medium,159,2534,2589,75.36
99,TASK_609,Medium,247,2608,3980,51.31
100,TASK_524,High,84,1601,1631,58.51
100,TASK_14,Medium,204,752,2977,42.75
100,TASK_622,Low,913,2845,3062,88.98
100,TASK_530,High,109,2195,1362,54.04
101,TASK_213,Low,572,1108,950,97.11
101,TASK_593,Low,783,1291,511,74.82
101,TASK_135,Medium,378,1702,1654,89.99
101,TASK_557,Low,627,1679,3113,39.02
101,TASK_526,High,73,318,3699,14.38
101,TASK_767,High,134,2875,3354,49.07
101,TASK_450,Medium,296,732,2735,32.66
102,TASK_753,Low,781,2650,2955,98.11
102,TASK_815,Low,978,1734,2341,115.38
103,TASK_9,Medium,339,2480,3682,60.57
103,TASK_860,Medium,237,303,3414,67.9
103,TASK_1,Medium,254,2030,2405,101.61
103,TASK_189,Medium,290,2132,1700,18.79
103,TASK_456,Low,718,1725,2891,22.98
103,TASK_141,High,141,2572,1315,86.22
104,TASK_402,High,127,2541,2346,86.59
104,TASK_905,Medium,370,1101,3557,53.11
104,TASK_72,High,70,1763,3999,58.62
104,TASK_15,Low,661,1055,3093,57.21
104,TASK_132,Low,630,2211,465,102.53
104,TASK_267,High,99,1914,3561,112.38
104,TASK_389,Medium,368,1694,1476,71.0
104,TASK_306,Low,512,256,1196,106.12
105,TASK_708,Medium,263,866,3632,50.05
105,TASK_806,Low,853,2157,502,101.5
105,TASK_610,Low,427,2706,1050,82.34
105,TASK_581,Low,713,477,2768,86.9
106,TASK_77,Low,411,1828,969,73.64
106,TASK_471,Medium,322,2457,2510,58.78
106,TASK_876,Medium,270,1563,1358,96.9
107,TASK_973,Low,972,401,1597,51.04
107,TASK_5,Low,848,517,2323,27.44
107,TASK_944,Low,805,1087,1489,51.85
108,TASK_454,Medium,296,1112,2709,99.8
108,TASK_42,Low,798,1910,789,96.74
108,TASK_691,Medium,204,1836,2634,52.7
108,TASK_173,Low,707,1931,695,5.79
109,TASK_647,Low,782,2807,3887,84.27
109,TASK_963,High,137,2651,613,68.84
109,TASK_459,Medium,301,1223,2023,82.2
109,TASK_679,Medium,200,2219,1602,48.45
109,TASK_994,Medium,262,2413,1063,108.2
109,TASK_788,High,131,2680,3263,26.26
109,TASK_342,Medium,362,1289,3758,117.51
110,TASK_825,Low,712,1335,1072,39.11
110,TASK_314,Low,896,224,2795,112.44
111,TASK_896,Medium,157,2735,3297,23.25
111,TASK_352,Low,860,2150,1660,35.58
111,TASK_971,Low,661,1797,3311,29.61
111,TASK_62,High,129,401,3363,45.39
111,TASK_996,High,57,353,2281,30.37
111,TASK_997,High,92,2162,1422,20.88
111,TASK_93,Medium,300,1350,200,68.38
111,TASK_999,High,146,868,3006,62.51
111,TASK_633,Medium,237,2767,3876,17.43
112,TASK_616,Low,576,2262,3636,71.53
112,TASK_308,High,148,2511,3446,31.61
112,TASK_852,High,111,2056,1103,88.8
112,TASK_279,Medium,159,315,2722,53.03
113,TASK_715,Medium,396,1179,1386,105.27
113,TASK_212,Medium,337,2730,3328,100.05
113,TASK_605,High,130,885,2143,72.01
113,TASK_204,Medium,207,499,262,112.13
113,TASK_953,Low,854,2536,3841,98.17
113,TASK_613,Medium,318,1896,3989,20.32
113,TASK_214,High,132,1334,3202,17.01
113,TASK_218,High,136,2756,248,117.77
113,TASK_832,Medium,294,412,3051,46.19
113,TASK_302,Medium,361,1427,3571,100.14
113,TASK_281,Low,887,1080,789,75.47
114,TASK_392,Medium,261,2150,3650,72.07
114,TASK_585,Medium,280,1313,2571,67.13
114,TASK_469,Low,418,1678,2508,104.6
115,TASK_580,High,86,2787,1487,5.0
115,TASK_976,Medium,367,717,3264,79.68
115,TASK_337,High,78,2292,3739,70.9
115,TASK_895,Medium,369,2107,1674,20.3
115,TASK_968,Medium,221,768,2071,15.1
115,TASK_780,Medium,310,1590,3710,73.83
115,TASK_425,High,70,1306,2511,43.46
116,TASK_300,Medium,399,476,2847,25.9
116,TASK_187,High,70,267,3451,54.45
116,TASK_460,Low,508,1776,2467,36.12
116,TASK_378,Medium,253,859,372,31.89
116,TASK_240,Low,798,2642,1280,57.66
117,TASK_635,High,109,819,2709,72.34
117,TASK_482,Low,560,2868,333,68.96
117,TASK_366,Medium,257,1756,1073,23.43
117,TASK_756,Low,875,2446,1909,117.99
117,TASK_498,Medium,218,1288,3613,102.39
117,TASK_720,High,97,473,836,14.12
117,TASK_13,Medium,359,1016,3508,51.78
117,TASK_743,High,144,2160,1773,116.66
118,TASK_842,High,140,720,3920,78.81
118,TASK_792,Low,678,780,1806,65.19
118,TASK_731,Low,415,2100,2858,91.84
118,TASK_745,Medium,396,1803,2870,88.04
118,TASK_200,Low,428,540,1356,108.78
118,TASK_495,High,58,2735,2794,19.48
118,TASK_901,Medium,276,900,1953,28.96
119,TASK_338,High,62,2330,3210,42.4
119,TASK_979,Medium,360,1541,1118,112.27
119,TASK_790,High,124,2875,3459,74.5
120,TASK_297,High,108,2033,1828,80.69
120,TASK_588,High,86,1617,918,70.06
120,TASK_475,High,146,2278,762,42.98
121,TASK_186,High,91,1501,3825,44.34
121,TASK_941,Medium,254,2816,3285,15.51
121,TASK_183,High,142,1723,2169,36.24
122,TASK_917,Medium,169,858,711,94.72
122,TASK_490,Medium,347,2521,3771,29.19
122,TASK_758,Medium,158,2574,2345,98.65
122,TASK_10,Low,806,2000,2542,101.4
122,TASK_653,Low,612,556,3703,72.06
122,TASK_671,Medium,155,444,1803,91.97
123,TASK_235,Low,631,2089,1747,54.59
123,TASK_844,Low,842,209,2515,61.31
123,TASK_117,Medium,293,2919,1517,12.61
123,TASK_641,Medium,198,1891,1742,67.6
124,TASK_369,High,57,2973,268,92.09
124,TASK_246,Medium,384,2160,873,99.71
124,TASK_98,Medium,311,2524,170,56.64
124,TASK_551,Medium,331,506,931,85.25
124,TASK_147,High,51,1848,2562,55.92
124,TASK_470,High,97,1236,2732,38.29
125,TASK_438,Low,620,1105,556,11.52
126,TASK_893,High,90,1050,2066,82.68
126,TASK_698,Medium,209,2703,635,113.16
126,TASK_702,Medium,279,548,2773,59.9
